YEAR,words
2002,"error, formatting, data, caused, coding, software, , , , "
2003,"patient, software, image, number, test, incorrect, system, file, part, cryotips"
2004,"patient, clip, smx, hemolok, malformation, label, product, problem, waveform, data"
2005,"patient, image, software, manager, workflow, result, may, wrong, study, one"
2006,"patient, data, system, image, result, field, demographic, paceart, may, length"
2007,"patient, system, syringe, lockup, may, fracture, size, ml, one, medication"
2008,"patient, file, may, result, data, one, image, software, another, knob"
2009,"data, may, patient, system, result, number, sample, backup, contain, issue"
2010,"patient, result, number, softweb, case, rb, record, test, mrn, softpath"
2011,"patient, data, system, software, result, report, potential, may, could, test"
2012,"patient, data, image, may, sunquest, using, information, incorrect, potential, safety"
2013,"patient, image, data, system, may, study, error, incorrect, one, could"
2014,"patient, incorrect, id, potential, data, result, label, displayed, may, image"
2015,"study, potential, patient, data, backup, device, due, loss, result, philip"
2016,"patient, multiple, incorrect, id, record, report, update, study, name, system"
2017,"patient, type, sample, system, order, fetal, study, prior, without, centralink"
2018,"e, image, detector, cobas, skyplate, analyzer, mhz, product, transfer, module"
